iter	Passed	Remaining
622	34747	21026
623	34811	20976
624	34871	20922
625	34936	20872
626	35000	20821
627	35057	20766
628	35119	20714
629	35178	20660
630	35234	20604
631	35293	20550
632	35350	20495
633	35413	20443
634	35478	20393
635	35541	20341
636	35624	20300
637	35688	20249
638	35747	20195
639	35807	20141
640	35877	20093
641	36005	20077
642	36095	20040
643	36175	19997
644	36248	19950
645	36323	19904
646	36396	19857
647	36480	19816
648	36552	19768
649	36627	19722
650	36698	19674
651	36764	19623
652	36830	19571
653	36893	19518
654	36966	19471
655	37035	19420
656	37099	19368
657	37164	19316
658	37230	19264
659	37292	19211
660	37356	19158
661	37429	19110
662	37515	19069
663	37578	19015
664	37650	18966
665	37722	18917
666	37791	18867
667	37864	18819
668	37941	18772
669	38019	18726
670	38099	18680
671	38174	18632
672	38251	18585
673	38326	18537
674	38427	18502
675	38556	18479
676	38703	18465
677	38816	18434
678	38944	18411
679	39040	18372
680	39121	18325
681	39193	18274
682	39264	18223
683	39335	18172
684	39407	18121
685	39485	18073
686	39558	18023
687	39635	17974
688	39705	17922
689	39791	17877
690	39870	17829
691	39992	17800
692	40069	17750
693	40138	17697
694	40207	17644
695	40272	17590
696	40340	17536
697	40412	17484
698	40479	17431
699	40548	17377
700	40612	17322
701	40689	17272
702	40775	17226
703	40859	17179
704	40935	17128
705	41010	17078
706	41090	17029
707	41161	16976
708	41229	16921
709	41293	16866
710	41359	16811
711	41422	16755
712	41487	16699
713	41558	16646
714	41629	16593
715	41705	16542
716	41780	16490
717	41851	16437
718	41923	16384
719	41991	16330
720	42060	16275
721	42124	16219
722	42192	16164
723	42261	16110
724	42333	16057
725	42422	16010
726	42504	15961
727	42577	15908
728	42658	15857
729	42737	15807
730	42829	15760
731	42943	15722
732	43050	15681
733	43147	15636
734	43246	15592
735	43330	15542
736	43412	15491
737	43485	15438
738	43573	15389
739	43659	15339
740	43729	15284
741	43803	15230
742	43874	15175
743	43968	15129
744	44064	15082
745	44169	15038
746	44274	14995
747	44373	14949
748	44461	14899
749	44557	14852
750	44646	14802
751	44729	14751
752	44805	14697
753	44882	14643
754	44957	14588
755	45035	14535
756	45115	14482
757	45215	14435
758	45308	14386
759	45424	14344
760	45538	14301
761	45651	14258
762	45745	14209
763	45821	14154
764	45896	14098
765	45963	14041
766	46031	13983
767	46105	13927
768	46190	13875
769	46258	13817
770	46326	13759
771	46391	13701
772	46461	13643
773	46536	13588
774	46600	13529
775	46670	13472
776	46752	13417
777	46840	13365
778	46924	13312
779	46988	13253
780	47056	13195
781	47124	13137
782	47190	13078
783	47259	13020
784	47330	12963
785	47400	12905
786	47479	12850
787	47540	12789
788	47606	12731
789	47675	12673
790	47739	12613
791	47800	12553
792	47862	12493
793	47928	12434
794	47991	12375
795	48050	12314
796	48111	12254
797	48181	12196
798	48247	12137
799	48311	12077
800	48375	12018
801	48443	11959
802	48509	11900
803	48570	11840
804	48637	11781
805	48700	11722
806	48766	11662
807	48830	11603
808	48892	11543
809	48951	11482
810	49013	11422
811	49077	11362
812	49144	11303
813	49210	11244
814	49276	11185
815	49339	11125
816	49402	11065
817	49469	11006
818	49533	10946
819	49598	10887
820	49668	10828
821	49748	10772
822	49811	10712
823	49874	10652
824	49940	10593
825	50003	10533
826	50066	10473
827	50128	10413
828	50190	10352
829	50255	10293
830	50318	10233
831	50380	10173
832	50442	10112
833	50506	10052
834	50569	9992
835	50632	9932
836	50697	9872
837	50762	9813
838	50825	9753
839	50891	9693
840	50953	9633
841	51014	9572
842	51080	9513
843	51144	9453
844	51204	9392
845	51267	9332
846	51332	9272
847	51395	9212
848	51458	9152
849	51522	9092
850	51589	9032
851	51658	8973
852	51721	8913
853	51804	8856
854	51865	8795
855	51926	8735
856	51987	8674
857	52050	8614
858	52113	8554
859	52175	8493
860	52236	8433
861	52301	8373
862	52366	8313
863	52427	8252
864	52486	8191
865	52556	8132
866	52619	8071
867	52681	8011
868	52744	7951
869	52807	7890
870	52871	7830
871	52933	7770
872	53005	7710
873	53066	7650
874	53142	7591
875	53204	7531
876	53282	7472
877	53343	7412
878	53408	7351
879	53470	7291
880	53535	7231
881	53599	7170
882	53662	7110
883	53723	7049
884	53790	6989
885	53851	6928
886	53920	6869
887	53984	6808
888	54052	6748
889	54117	6688
890	54180	6628
891	54241	6567
892	54301	6506
893	54365	6445
894	54438	6386
895	54507	6326
896	54569	6266
897	54632	6205
898	54697	6145
899	54757	6084
900	54819	6023
901	54883	5962
902	54952	5903
903	55015	5842
904	55080	5781
905	55144	5721
906	55205	5660
907	55268	5599
908	55330	5539
909	55400	5479
910	55465	5418
911	55531	5358
912	55603	5298
913	55667	5237
914	55730	5177
915	55794	5116
916	55857	5055
917	55919	4994
918	55985	4934
919	56048	4873
920	56112	4813
921	56173	4752
922	56232	4691
923	56294	4630
924	56362	4569
925	56427	4509
926	56487	4448
927	56551	4387
928	56616	4326
929	56693	4267
930	56757	4206
931	56831	4146
932	56892	4085
933	56961	4025
934	57028	3964
935	57091	3903
936	57155	3842
937	57224	3782
938	57288	3721
939	57357	3661
940	57425	3600
941	57491	3539
942	57554	3478
943	57618	3418
944	57682	3357
945	57746	3296
946	57810	3235
947	57874	3174
948	57941	3113
949	58009	3053
950	58071	2992
951	58132	2931
952	58197	2870
953	58264	2809
954	58329	2748
955	58393	2687
956	58457	2626
957	58519	2565
958	58581	2504
959	58643	2443
960	58709	2382
961	58779	2321
962	58843	2260
963	58907	2199
964	58970	2138
965	59032	2077
966	59094	2016
967	59155	1955
968	59217	1894
969	59285	1833
970	59354	1772
971	59417	1711
972	59479	1650
973	59542	1589
974	59606	1528
975	59669	1467
976	59742	1406
977	59806	1345
978	59874	1284
979	59943	1223
980	60012	1162
981	60076	1101
982	60142	1040
983	60207	978
984	60272	917
985	60337	856
986	60402	795
987	60462	734
988	60525	673
989	60588	612
990	60654	550
991	60715	489
992	60779	428
993	60856	367
994	60974	306
995	61064	245
996	61129	183
997	61196	122
998	61268	61
999	61328	0
